Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,220407 14:14:06.164, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-19.999998,-0.000000, 0.010588,-0.039031, 0.072139, 1.177295,-3.012176, 0.219750, 0.010588,-0.039031, 0.072139, 1.177295,-3.012176, 0.219750,-0.003400,-0.040299, 0.072139, 0.076071,-3.233178, 0.219750, 0.000000, 0.000021,14.576009,72.968562, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.968590,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001382,-10.375275,-0.000120,,,,,
Sing,USC,220407 14:14:23.765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-18.000000,-0.000000, 0.005534,-0.037692, 0.051545, 1.089960,-2.674075, 0.189102, 0.005534,-0.037692, 0.051545, 1.089960,-2.674075, 0.189102,-0.006384,-0.037558, 0.051545, 0.210279,-2.880013, 0.189102, 0.000000, 0.000030,14.577393,72.968502, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.968513,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001354,-10.375275,-0.000082,,,,,
Sing,USC,220407 14:14:41.364, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-15.999999,-0.000000, 0.006267,-0.031486, 0.061604, 0.990044,-2.350344, 0.165654, 0.006267,-0.031486, 0.061604, 0.990044,-2.350344, 0.165654,-0.002654,-0.031994, 0.061604, 0.303848,-2.532189, 0.165654, 0.000000, 0.000012,14.576955,72.968689, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.968717,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001378,-10.375275,-0.000084,,,,,
Sing,USC,220407 14:14:58.964, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-13.999998,-0.000000, 0.008321,-0.025987, 0.044535, 0.891539,-2.038689, 0.145126, 0.008321,-0.025987, 0.044535, 0.891539,-2.038689, 0.145126, 0.001787,-0.027228, 0.044535, 0.371853,-2.193814, 0.145126, 0.000000, 0.000019,14.575556,72.968689, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.968684,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001392,-10.375275,-0.000094,,,,,
Sing,USC,220407 14:15:16.564, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-11.999999,-0.000000, 0.009730,-0.022183, 0.029807, 0.792913,-1.728643, 0.124637, 0.009730,-0.022183, 0.029807, 0.792913,-1.728643, 0.124637, 0.004905,-0.023721, 0.029807, 0.416181,-1.855724, 0.124637, 0.000000, 0.000034,14.578567,72.969192, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.969162,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001354,-10.375275,-0.000100,,,,,
Sing,USC,220407 14:15:34.163, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999998,-0.000000, 0.005446,-0.015057, 0.032770, 0.666965,-1.451013, 0.108824, 0.005446,-0.015057, 0.032770, 0.666965,-1.451013, 0.108824, 0.002748,-0.015774, 0.032770, 0.404866,-1.544786, 0.108824, 0.000000, 0.000014,14.580800,72.967794, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.967836,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001353,-10.375275,-0.000068,,,,,
Sing,USC,220407 14:15:51.764, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-7.999999,-0.000000, 0.005378,-0.009755, 0.028851, 0.543648,-1.147921, 0.087762, 0.005378,-0.009755, 0.028851, 0.543648,-1.147921, 0.087762, 0.003968,-0.010408, 0.028851, 0.378597,-1.212411, 0.087762, 0.000000, 0.000023,14.581851,72.967885, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.967891,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001322,-10.375275,-0.000063,,,,,
Sing,USC,220407 14:16:09.365, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-5.999998,-0.000000, 0.001699,-0.006204, 0.026859, 0.414712,-0.850373, 0.066775, 0.001699,-0.006204, 0.026859, 0.414712,-0.850373, 0.066775, 0.001041,-0.006347, 0.026859, 0.323552,-0.889064, 0.066775, 0.000000, 0.000024,14.581203,72.967979, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.967982,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001372,-10.375275,-0.000034,,,,,
Sing,USC,220407 14:16:26.965, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-3.999999,-0.000000, 0.000351,-0.001076, 0.015775, 0.270466,-0.541246, 0.042600, 0.000351,-0.001076, 0.015775, 0.270466,-0.541246, 0.042600, 0.000275,-0.001098, 0.015775, 0.232052,-0.558794, 0.042600, 0.000000, 0.000025,14.579537,72.968745, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,72.968764,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001391,-10.375275,-0.000020,,,,,
