Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,220407 14:38:16.580,0,0,0,0,0,19.999999,0,8.481526,20.762605,1.167049,-9.130535,-3.450373,1.252886,8.481526,20.762605,1.167049,-9.130535,-3.450373,1.252886,0.868799,22.41132,1.167049,-7.3998,-6.365117,1.252886,0.079069,0.079373,14.565242,73.043545,99.966746,0.079582,0.088351,600845.6669,100,73.043142,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001502,-10.375275,-0.062474,,,,,
Sing,USC,220407 14:38:34.471,0,0,0,0,0,18.000001,0,7.393196,20.256545,1.213018,-8.684979,-3.010528,1.271902,7.393196,20.256545,1.213018,-8.684979,-3.010528,1.271902,0.77173,21.549742,1.213018,-7.329601,-5.546989,1.271902,0.079301,0.079688,14.565672,73.098975,100.114082,0.079817,0.088477,601677.4838,100,73.098461,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.00152,-10.375275,-0.055175,,,,,
Sing,USC,220407 14:38:52.370,0,0,0,0,0,16,0,6.244561,20.502698,1.021374,-10.709354,-2.735454,1.431471,6.244561,20.502698,1.021374,-10.709354,-2.735454,1.431471,0.351348,21.429692,1.021374,-9.540499,-5.581385,1.431471,0.079256,0.07966,14.562857,73.150241,100.098759,0.079771,0.088459,601381.4588,100,73.149788,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001541,-10.375275,-0.04766,,,,,
Sing,USC,220407 14:39:10.270,0,0,0,0,0,13.999999,0,4.462967,22.581397,0.907066,-12.650506,-1.673222,2.420673,4.462967,22.581397,0.907066,-12.650506,-1.673222,2.420673,-1.132536,22.990321,0.907066,-11.869943,-4.683955,2.420673,0.079157,0.079491,14.562381,73.198428,100.044375,0.079667,0.088407,600881.4588,100,73.198155,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001544,-10.375275,-0.036437,,,,,
Sing,USC,220407 14:39:28.173,0,0,0,0,0,12,0,1.886889,23.104886,0.786577,-12.75245,-0.874767,3.897407,1.886889,23.104886,0.786577,-12.75245,-0.874767,3.897407,-2.95812,22.992294,0.786577,-12.291905,-3.507035,3.897407,0.079478,0.079887,14.560795,73.245488,100.253232,0.079988,0.088587,602001.8825,100,73.245217,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001549,-10.375275,-0.019308,,,,,
Sing,USC,220407 14:39:46.072,0,0,0,0,0,9.999998,0,1.347228,20.313617,0.624579,-11.41732,-0.567899,3.421472,1.347228,20.313617,0.624579,-11.41732,-0.567899,3.421472,-2.200661,20.238951,0.624579,-11.145251,-2.541867,3.421472,0.079709,0.080063,14.558325,73.290971,100.412256,0.080226,0.088724,602801.8081,100,73.290626,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001564,-10.375275,-0.014885,,,,,
Sing,USC,220407 14:40:03.971,0,0,0,0,0,8,0,0.955603,16.937525,0.50203,-9.713671,-0.382594,2.776357,0.955603,16.937525,0.50203,-9.713671,-0.382594,2.776357,-1.410945,16.905685,0.50203,-9.565892,-1.730752,2.776357,0.079465,0.079806,14.560653,73.331647,100.259582,0.079984,0.088586,601860.1894,100,73.331307,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001543,-10.375275,-0.011351,,,,,
Sing,USC,220407 14:40:21.867,0,0,0,0,0,5.999999,0,0.602227,12.545367,0.355954,-7.445602,-0.283065,2.226374,0.602227,12.545367,0.355954,-7.445602,-0.283065,2.226374,-0.712419,12.539592,0.355954,-7.375226,-1.059791,2.226374,0.080053,0.080482,14.562469,73.370933,100.631478,0.080584,0.088911,604102.2731,100,73.370679,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001565,-10.375275,-0.007771,,,,,
Sing,USC,220407 14:40:39.773,0,0,0,0,0,4,0,0.375066,8.010324,0.302493,-4.832468,-0.217658,1.569729,0.375066,8.010324,0.302493,-4.832468,-0.217658,1.569729,-0.18462,8.016974,0.302493,-4.805514,-0.554224,1.569729,0.079758,0.080176,14.562581,73.406794,100.439979,0.080277,0.088739,602914.5531,100,73.406587,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001526,-10.375275,-0.004928,,,,,
