Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,220407 15:49:17.758, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,19.999999,-0.000000,18.940832,46.674519, 2.413019,-20.301721,-7.749737, 2.928773,18.940832,46.674519, 2.413019,-20.301721,-7.749737, 2.928773, 1.834935,50.337846, 2.413019,-16.426811,-14.225968, 2.928773, 0.156923, 0.178254,14.529959,70.229078,149.879216, 0.179406, 0.132815,907136.615625,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001582,-10.375275,-0.139954,,,,,
Sing,USC,220407 15:49:36.054, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,18.000000,-0.000000,16.456882,45.790073, 2.393684,-19.628298,-6.765280, 3.065971,16.456882,45.790073, 2.393684,-19.628298,-6.765280, 3.065971, 1.501513,48.634403, 2.393684,-16.577033,-12.499641, 3.065971, 0.156919, 0.179195,14.527697,70.218141,150.296054, 0.180375, 0.133186,909520.863125,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001591,-10.375275,-0.123229,,,,,
Sing,USC,220407 15:49:54.455, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,15.999999,-0.000000,10.732010,47.551752, 1.990558,-19.964334,-6.471825, 5.497220,10.732010,47.551752, 1.990558,-19.964334,-6.471825, 5.497220,-2.790768,48.667821, 1.990558,-17.407072,-11.724033, 5.497221, 0.156921, 0.179267,14.524955,70.205198,150.303076, 0.180372, 0.133194,909479.065625,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001571,-10.375275,-0.085571,,,,,
Sing,USC,220407 15:50:12.759, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,13.999998, 0.000000, 5.568508,59.408912, 1.880026,-32.039781,-2.974868, 9.887562, 5.568508,59.408912, 1.880026,-32.039781,-2.974868, 9.887562,-8.969216,58.991357, 1.880026,-30.368378,-10.637625, 9.887562, 0.156931, 0.179020,14.522453,70.184494,150.265363, 0.180256, 0.133163,909146.595625,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001632,-10.375275,-0.054263,,,,,
Sing,USC,220407 15:50:31.054, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,12.000000,-0.000000, 4.200227,52.499450, 1.483312,-28.706916,-2.132431, 8.811095, 4.200227,52.499450, 1.483312,-28.706916,-2.132431, 8.811095,-6.806808,52.225487, 1.483312,-27.636244,-8.054336, 8.811095, 0.156936, 0.179400,14.520223,70.162583,150.396905, 0.180565, 0.133282,909939.138750,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001619,-10.375275,-0.043178,,,,,
Sing,USC,220407 15:50:49.459, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.999999,-0.000000, 2.993895,45.488173, 1.151878,-25.660107,-1.240027, 7.624450, 2.993895,45.488173, 1.151878,-25.660107,-1.240027, 7.624450,-4.950526,45.316990, 1.151878,-25.054943,-5.677019, 7.624450, 0.156932, 0.179728,14.519310,70.144930,150.517804, 0.180842, 0.133392,910626.838750,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001644,-10.375275,-0.033094,,,,,
Sing,USC,220407 15:51:07.764, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.000000,-0.000000, 1.968180,37.126240, 0.865785,-21.721005,-0.683243, 6.448193, 1.968180,37.126240, 0.865785,-21.721005,-0.683243, 6.448193,-3.217948,37.038847, 0.865785,-21.414528,-3.699573, 6.448193, 0.156931, 0.180204,14.522063,70.127843,150.728216, 0.181395, 0.133580,912160.316875,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001672,-10.375275,-0.023833,,,,,
Sing,USC,220407 15:51:26.056, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.999999,-0.000000, 1.212848,27.112694, 0.642324,-16.199026,-0.432038, 5.114966, 1.212848,27.112694, 0.642324,-16.199026,-0.432038, 5.114966,-1.627844,27.090945, 0.642324,-16.065125,-2.122930, 5.114967, 0.156924, 0.180616,14.524351,70.117201,150.899370, 0.181849, 0.133733,913420.940625,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001601,-10.375275,-0.015924,,,,,
Sing,USC,220407 15:51:44.359, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.000000,-0.000000, 0.737775,17.624443, 0.501991,-10.558565,-0.334931, 3.542336, 0.737775,17.624443, 0.501991,-10.558565,-0.334931, 3.542336,-0.493441,17.632975, 0.501991,-10.509482,-1.070643, 3.542336, 0.156930, 0.180008,14.524841,70.108911,150.601528, 0.181133, 0.133470,911632.917500,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001651,-10.375275,-0.010079,,,,,
Sing,USC,220407 15:52:02.667, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.999999,-0.000000, 0.503141, 9.066995, 0.377924,-5.571951,-0.224041, 1.844117, 0.503141, 9.066995, 0.377924,-5.571951,-0.224041, 1.844117, 0.186401, 9.079032, 0.377924,-5.560738,-0.418362, 1.844117, 0.156931, 0.179323,14.524529,70.092979,150.304661, 0.180410, 0.133209,909812.952500,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001617,-10.375275,-0.006049,,,,,
Sing,USC,220407 15:52:20.964, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-0.000000, 0.481737, 0.231719, 0.373545, 0.029358,-0.254883, 0.121666, 0.481737, 0.231719, 0.373545, 0.029358,-0.254883, 0.121666, 0.481737, 0.231719, 0.373545, 0.029358,-0.254883, 0.121666, 0.156919, 0.178758,14.528186,70.077930,150.097726, 0.179956, 0.133028,908793.121250,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001638,-10.375275,-0.003392,,,,,
Sing,USC,220407 15:52:39.259, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-1.999998,-0.000000, 0.547538,-8.211819, 0.361529, 5.076857,-0.642879,-1.575066, 0.547538,-8.211819, 0.361529, 5.076857,-0.642879,-1.575066, 0.260617,-8.225926, 0.361529, 5.051328,-0.819667,-1.575066, 0.156928, 0.178383,14.522671,70.067523,149.942908, 0.179543, 0.132892,907657.781250,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001621,-10.375275,-0.002085,,,,,
Sing,USC,220407 15:52:57.557, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-3.999999,-0.000000, 0.781450,-16.521430, 0.415959, 9.797509,-1.170078,-3.220861, 0.781450,-16.521430, 0.415959, 9.797509,-1.170078,-3.220861,-0.372931,-16.535696, 0.415959, 9.692022,-1.850667,-3.220861, 0.156930, 0.178080,14.524125,70.051543,149.774730, 0.179154, 0.132745,906728.725625,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001611,-10.375275,-0.001898,,,,,
Sing,USC,220407 15:53:15.858, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-5.999998,-0.000000, 1.286306,-25.661395, 0.537581,15.162637,-1.889514,-4.791646, 1.286306,-25.661395, 0.537581,15.162637,-1.889514,-4.791646,-1.403086,-25.655275, 0.537581,14.882067,-3.464090,-4.791646, 0.156916, 0.177502,14.524551,70.042064,149.589723, 0.178701, 0.132582,905564.270000,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001619,-10.375275,-0.003385,,,,,
Sing,USC,220407 15:53:34.149, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-7.999999,-0.000000, 2.087891,-35.352457, 0.689790,20.471178,-2.789182,-6.149169, 2.087891,-35.352457, 0.689790,20.471178,-2.789182,-6.149169,-2.852539,-35.298988, 0.689790,19.883775,-5.611075,-6.149169, 0.156915, 0.177245,14.521238,70.036991,149.500388, 0.178475, 0.132503,904970.543750,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001621,-10.375275,-0.006652,,,,,
Sing,USC,220407 15:53:52.467, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999998,-0.000000, 3.106477,-44.464545, 0.967022,24.989508,-3.765314,-7.402053, 3.106477,-44.464545, 0.967022,24.989508,-3.765314,-7.402053,-4.661903,-44.328462, 0.967022,23.956022,-8.047492,-7.402054, 0.156929, 0.176996,14.525611,70.035359,149.332029, 0.178128, 0.132354,904227.659375,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001611,-10.375275,-0.011506,,,,,
Sing,USC,220407 15:54:10.856, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-11.999999,-0.000000, 4.430175,-51.265023, 1.272007,27.982270,-5.026629,-8.467479, 4.430175,-51.265023, 1.272007,27.982270,-5.026629,-8.467479,-6.325232,-51.065845, 1.272007,26.325696,-10.734626,-8.467479, 0.156923, 0.177189,14.526043,70.040918,149.439050, 0.178369, 0.132449,904797.327500,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001608,-10.375275,-0.018857,,,,,
Sing,USC,220407 15:54:29.161, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-13.999998,-0.000000, 5.862655,-58.235546, 1.658037,31.398016,-6.258676,-9.583853, 5.862655,-58.235546, 1.658037,31.398016,-6.258676,-9.583853,-8.399943,-57.924006, 1.658037,28.951251,-13.668634,-9.583853, 0.156911, 0.177555,14.526512,70.046899,149.552936, 0.178668, 0.132549,905617.309375,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001607,-10.375275,-0.026897,,,,,
Sing,USC,220407 15:54:47.554, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-15.999999,-0.000000, 7.524805,-64.102119, 2.060810,33.926065,-7.478036,-10.271424, 7.524805,-64.102119, 2.060810,33.926065,-7.478036,-10.271424,-10.435630,-63.693029, 2.060810,30.550602,-16.539639,-10.271424, 0.156922, 0.177162,14.527420,70.051551,149.442702, 0.178405, 0.132451,904941.010625,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001610,-10.375275,-0.036726,,,,,
Sing,USC,220407 15:55:05.957, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-17.999999, 0.000000,16.307854,-46.321148, 2.005238,26.798261,-10.386393,-2.609970,16.307854,-46.321148, 2.005238,26.798261,-10.386393,-2.609970, 1.195669,-49.093433, 2.005238,22.277090,-18.159165,-2.609970, 0.156911, 0.177389,14.532183,70.061812,149.501834, 0.178598, 0.132502,905551.733750,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001581,-10.375275,-0.099074,,,,,
Sing,USC,220407 15:55:24.265, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-19.999998,-0.000000,18.795403,-46.131796, 2.140741,20.514799,-10.984342,-2.721984,18.795403,-46.131796, 2.140741,20.514799,-10.984342,-2.721984, 1.883901,-49.778115, 2.140741,15.520740,-17.338379,-2.721984, 0.156924, 0.177881,14.531270,70.062561,149.702348, 0.179063, 0.132679,906689.351875,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001640,-10.375275,-0.115585,,,,,
