Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,220407 14:30:53.279,0,0,0,0,0,-19.999998,0,8.310928,-20.359271,0.959398,8.764113,-4.754294,-1.274041,8.310928,-20.359271,0.959398,8.764113,-4.754294,-1.274041,0.846438,-21.973961,0.959398,6.609508,-7.465078,-1.274041,0.077333,0.07759,14.562924,70.991342,98.678645,0.077838,0.087381,597122.9556,100,72.943423,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001504,-10.375275,-0.051163,,,,,
Sing,USC,220407 14:31:11.080,0,0,0,0,0,-18,0,7.432549,-20.290985,1.034843,8.632834,-4.413477,-1.28308,7.432549,-20.290985,1.034843,8.632834,-4.413477,-1.28308,0.798515,-21.594657,1.034843,6.846474,-6.865158,-1.28308,0.079016,0.079365,14.568591,70.830617,99.720456,0.079538,0.088317,603930.45,100,72.943423,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001508,-10.375275,-0.045293,,,,,
Sing,USC,220407 14:31:28.871,0,0,0,0,0,-15.999998,0,6.293419,-20.707592,0.840975,11.532632,-4.066394,-1.373463,6.293419,-20.707592,0.840975,11.532632,-4.066394,-1.373463,0.341837,-21.640117,0.840975,9.965029,-7.087692,-1.373463,0.079362,0.079744,14.565386,70.672392,99.920943,0.079868,0.088508,605356.77,100,72.943423,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001526,-10.375275,-0.037675,,,,,
Sing,USC,220407 14:31:46.674,0,0,0,0,0,-13.999998,0,4.461352,-22.826533,0.741455,12.614495,-3.118607,-2.615188,4.461352,-22.826533,0.741455,12.614495,-3.118607,-2.615188,-1.193406,-23.227786,0.741455,11.485332,-6.077693,-2.615188,0.079954,0.080281,14.563039,70.515635,100.296078,0.080477,0.088853,607832.905,100,72.943423,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001507,-10.375275,-0.025042,,,,,
Sing,USC,220407 14:32:04.472,0,0,0,0,0,-11.999999,0,2.027766,-22.974314,0.635985,12.577613,-2.180451,-3.878254,2.027766,-22.974314,0.635985,12.577613,-2.180451,-3.878254,-2.793174,-22.893866,0.635985,11.849421,-4.747835,-3.878254,0.080217,0.080584,14.561381,70.362381,100.442769,0.080732,0.088996,609000.3725,100,70.363129,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001502,-10.375275,-0.008754,,,,,
Sing,USC,220407 14:32:22.276,0,0,0,0,0,-9.999998,0,1.460668,-20.03093,0.484392,11.205144,-1.602399,-3.376072,1.460668,-20.03093,0.484392,11.205144,-1.602399,-3.376072,-2.039856,-19.980257,0.484392,10.756659,-3.523807,-3.376072,0.080143,0.080444,14.563241,70.265122,100.384083,0.080664,0.088952,608931.0744,100,70.265357,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001542,-10.375275,-0.00557,,,,,
Sing,USC,220407 14:32:40.076,0,0,0,0,0,-7.999999,0,1.054287,-16.567069,0.372509,9.526186,-1.23838,-2.739722,1.054287,-16.567069,0.372509,9.526186,-1.23838,-2.739722,-1.261663,-16.552569,0.372509,9.261129,-2.552116,-2.739722,0.080054,0.080349,14.560709,70.313488,100.337128,0.08057,0.088906,608463.4213,100,70.312797,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001539,-10.375275,-0.003591,,,,,
Sing,USC,220407 14:32:57.881,0,0,0,0,0,-5.999998,0,0.677318,-12.015861,0.273176,7.127688,-0.833177,-2.170286,0.677318,-12.015861,0.273176,7.127688,-0.833177,-2.170286,-0.582392,-12.020836,0.273176,7.001551,-1.573658,-2.170286,0.080302,0.080625,14.561136,70.476069,100.516309,0.080825,0.089052,609156.9156,100,70.474354,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001543,-10.375275,-0.00202,,,,,
Sing,USC,220407 14:33:15.674,0,0,0,0,0,-3.999999,0,0.41424,-7.544377,0.231485,4.512583,-0.492477,-1.504125,0.41424,-7.544377,0.231485,4.512583,-0.492477,-1.504125,-0.113038,-7.554895,0.231485,4.467237,-0.806059,-1.504125,0.080156,0.080543,14.562821,70.695749,100.435411,0.080678,0.088961,608347.0538,100,70.693899,0,0,0,0,0,0,0,0,-10.422729,10.314362,0.001547,-10.375275,-0.001198,,,,,
