Type,Units,Time,X Position,Y Position,Y Encoder,Z Position,Z Encoder,Yaw,Pitch,WAFBC Drag,WAFBC Side,WAFBC Lift,WAFBC Roll,WAFBC Pitch,WAFBC Yaw,WAFMC Drag,WAFMC Side,WAFMC Lift,WAFMC Roll,WAFMC Pitch,WAFMC Yaw,BAFMC Axial,BAFMC Side,BAFMC Normal,BAFMC Roll,BAFMC Pitch,BAFMC Yaw,DPT250,DPT251,PT250,TE250,Velocity,Dynamic Pressure,Mach,Reynolds Number per ft,Velocity Setpoint,Temperature Setpoint,cDAQ AI0,cDAQ AI1,cDAQ AI2,cDAQ AI3,cDAQ AI4,cDAQ AI5,cDAQ AI6,cDAQ AI7,cRIO AI0,cRIO AI1,cRIO AI2,cRIO AI3,Drag (raw),Side (raw),Lift (raw),Roll (raw),Pitch (raw),Yaw (raw)
Type,USC / SI,Time,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Inches / Millimeters,Degrees / Degrees,Degrees / Degrees,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,lb / N,lb / N,lb / N,ft-lb / N-m,ft-lb / N-m,ft-lb / N-m,PSId / Pascals,PSId / Pascals,PSIa / Pascals,F / F,Ft/s / m/s,PSId / Pascals, / ,1/ft / 1/ft,ft/s / m/s,F / F, / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / , / 
Sing,USC,220407 15:41:37.458, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-19.999998,-0.000000,18.490545,-45.625107, 2.154832,19.982260,-10.766627,-2.732611,18.490545,-45.625107, 2.154832,19.982260,-10.766627,-2.732611, 1.770725,-49.197716, 2.154832,15.094780,-16.951655,-2.732611, 0.156905, 0.173775,14.531535,70.933977,148.069808, 0.174870, 0.131125,894084.001875,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001626,-10.375275,-0.113647,,,,,
Sing,USC,220407 15:41:55.657, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-18.000000,-0.000000,16.365319,-46.431277, 2.054365,26.880739,-10.455053,-2.590636,16.365319,-46.431277, 2.054365,26.880739,-10.455053,-2.590636, 1.216290,-49.215931, 2.054365,22.334313,-18.249951,-2.590636, 0.156923, 0.177381,14.528996,70.910066,149.593202, 0.178488, 0.132477,903323.321875,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001592,-10.375275,-0.099451,,,,,
Sing,USC,220407 15:42:13.858, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-15.999998,-0.000000,13.925761,-47.230159, 1.832064,26.418336,-9.064954,-3.135481,13.925761,-47.230159, 1.832064,26.418336,-9.064954,-3.135481, 0.367906,-49.239002, 1.832064,22.896296,-15.995672,-3.135481, 0.156926, 0.178530,14.527447,70.879315,150.104546, 0.179710, 0.132933,906448.604375,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001608,-10.375275,-0.083015,,,,,
Sing,USC,220407 15:42:32.163, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-13.999997,-0.000000, 5.897902,-58.779356, 1.696643,31.688590,-6.312024,-9.662286, 5.897902,-58.779356, 1.696643,31.688590,-6.312024,-9.662286,-8.497302,-58.460190, 1.696643,29.220288,-13.790691,-9.662287, 0.156918, 0.179236,14.523957,70.842235,150.436811, 0.180496, 0.133232,908448.983750,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001614,-10.375275,-0.026978,,,,,
Sing,USC,220407 15:42:50.467, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-11.999999,-0.000000, 4.461212,-51.877919, 1.342660,28.292323,-5.093894,-8.574861, 4.461212,-51.877919, 1.342660,28.292323,-5.093894,-8.574861,-6.422302,-51.671801, 1.342660,26.614988,-10.864884,-8.574861, 0.156918, 0.179394,14.524331,70.806624,150.460912, 0.180543, 0.133258,908589.257500,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001619,-10.375275,-0.018889,,,,,
Sing,USC,220407 15:43:08.659, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-9.999998,-0.000000, 3.143367,-44.968006, 1.019748,25.214555,-3.831734,-7.507371, 3.143367,-44.968006, 1.019748,25.214555,-3.831734,-7.507371,-4.712998,-44.830681, 1.019748,24.166116,-8.151982,-7.507371, 0.156916, 0.179372,14.523763,70.771458,150.437702, 0.180498, 0.133242,908551.423750,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001666,-10.375275,-0.011544,,,,,
Sing,USC,220407 15:43:26.864, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-7.999999, 0.000000, 2.107064,-35.899077, 0.763862,20.787390,-2.854243,-6.250316, 2.107064,-35.899077, 0.763862,20.787390,-2.854243,-6.250316,-2.909627,-35.842957, 0.763862,20.187855,-5.719511,-6.250316, 0.156919, 0.179607,14.523442,70.733210,150.554655, 0.180788, 0.133350,909353.453125,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001655,-10.375275,-0.006592,,,,,
Sing,USC,220407 15:43:45.157, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-5.999998,-0.000000, 1.295109,-26.064249, 0.582018,15.360220,-1.932831,-4.873040, 1.295109,-26.064249, 0.582018,15.360220,-1.932831,-4.873040,-1.436441,-26.056843, 0.582018,15.074039,-3.527824,-4.873040, 0.156918, 0.180049,14.522081,70.690005,150.745929, 0.181257, 0.133525,910612.165000,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001640,-10.375275,-0.003298,,,,,
Sing,USC,220407 15:44:03.466, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000,-3.999999,-0.000000, 0.768894,-16.755290, 0.487000, 9.890968,-1.150711,-3.284110, 0.768894,-16.755290, 0.487000, 9.890968,-1.150711,-3.284110,-0.401768,-16.768110, 0.487000, 9.786606,-1.837867,-3.284110, 0.156913, 0.179617,14.523048,70.641932,150.545474, 0.180784, 0.133354,909508.045625,150.000000,72.915521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10.422729,10.314362, 0.001657,-10.375275,-0.001777,,,,,
